p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Cell_type,GENE
2.20284969806656e-07,0.282421141215767,0.73,0.691,0.00463303348497358,Neurons,Rps21
3.60308280244107e-07,0.228291941019194,0.971,0.952,0.00757800375009406,Neurons,Meg3
3.72352822740382e-07,-0.375132559977525,0.456,0.514,0.00783132456787571,Neurons,Lrrc58
3.79978544976315e-07,0.399697155447053,0.225,0.154,0.00799170875794186,Neurons,mt-Te
4.70167757773265e-07,0.333367227960637,0.372,0.294,0.0098885682814873,Neurons,1700007G11Rik
4.8422317945003e-07,0.287624704804533,0.289,0.205,0.010184181910193,Neurons,Mllt4
6.31695599891236e-07,0.256137406916825,0.466,0.379,0.0132858218569125,Neurons,Rab39
6.72029326862721e-07,0.311815671238703,0.36,0.277,0.0141341208025767,Neurons,Cox17
8.19382571989983e-07,0.259686711182551,0.27,0.189,0.0172332542540933,Neurons,8430429K09Rik
8.40961694490149e-07,0.218062167168363,0.623,0.544,0.0176871063585168,Neurons,Rpl13-ps3
8.50609667175036e-07,-0.280746993776229,0.618,0.659,0.0178900225200254,Neurons,Serinc1
9.39979279179934e-07,-0.209530903586738,0.773,0.789,0.0197696441997124,Neurons,Ssh2
1.20877856185066e-06,-0.297311547673451,0.619,0.652,0.025423030712843,Neurons,Rtn3
1.32614292767536e-06,0.240487824410783,0.583,0.507,0.0278914380548681,Neurons,Wdr89
1.56916990063885e-06,0.261946598732139,0.427,0.345,0.0330027813502364,Neurons,Ddah1
1.86663471188857e-06,0.248824775363223,0.708,0.659,0.0392590612604405,Neurons,Rpl38
1.96405594592771e-06,0.25128939463194,0.213,0.143,0.0413080246547515,Neurons,Ube2q1
2.15998671917509e-06,0.232826791980193,0.108,0.058,0.0454288406776904,Neurons,Nphs1
2.20609828968958e-06,0.314829707689143,0.365,0.288,0.0463986592287512,Neurons,1700045H11Rik
2.47696536338112e-06,0.28013144171526,0.432,0.348,0.0520955355226317,Neurons,Usp32
2.94322885828191e-06,0.231218951642535,0.667,0.603,0.0619019893473852,Neurons,Vmp1
3.3382544674215e-06,-0.278659074886856,0.568,0.612,0.070210167958809,Neurons,Tuba1b
3.84447030930237e-06,0.313133475876256,0.132,0.079,0.0808568995452475,Neurons,Npas4
4.12578779269466e-06,0.362786705393375,0.137,0.084,0.086773568855954,Neurons,Sbf2
4.75028434891989e-06,0.312676668095057,0.464,0.387,0.0999079804264831,Neurons,Reps2
4.86408477268539e-06,0.156075737831469,0.398,0.309,0.102301430939119,Neurons,Nktr
5.45772413781374e-06,0.328626380261179,0.394,0.317,0.114786854066499,Neurons,Pcdh15
6.33832959169184e-06,0.207720570322676,0.791,0.757,0.133307747972463,Neurons,Gm17494
6.6492423889987e-06,0.239721584482058,0.328,0.249,0.139846865925421,Neurons,Map7
6.98645497518068e-06,0.26506507935397,0.285,0.214,0.146939121038,Neurons,Slc37a2
7.52935387623956e-06,0.302090083463466,0.323,0.25,0.15835737072507,Neurons,Catsper2
7.9382048259874e-06,0.273828595623821,0.358,0.288,0.166956323900167,Neurons,Heph
8.44653581075208e-06,0.276353189309461,0.255,0.186,0.177647541171738,Neurons,Gm10288
8.8096151632e-06,0.306957235787408,0.194,0.134,0.185283826112422,Neurons,Smap1
1.07793854748838e-05,0.234081155504777,0.403,0.328,0.226712035307756,Neurons,Gm17511
1.09767102122574e-05,0.197604229715697,0.1,0.055,0.230862169184197,Neurons,Rybp
1.19305600802015e-05,0.303193653048501,0.153,0.1,0.250923539606798,Neurons,Slc28a1
1.22458932701759e-05,0.204243454260007,0.486,0.407,0.257555627258341,Neurons,Srrm1
1.23711911783421e-05,0.253970025237029,0.677,0.624,0.260190892862892,Neurons,Orc5
1.25640113956605e-05,0.201088881899698,0.566,0.494,0.264246287673532,Neurons,Pfdn5
1.36781321301452e-05,0.262833336715776,0.309,0.237,0.287678474961215,Neurons,Gm26745
1.46721730453572e-05,0.194219747294001,0.388,0.308,0.308585143489952,Neurons,Tra2a
1.7322467306964e-05,0.278851707592557,0.314,0.244,0.364326132400066,Neurons,Strbp
2.07775262833045e-05,0.226369688015928,0.66,0.6,0.436992932790461,Neurons,Rimklb
2.67093036316324e-05,0.218226749340862,0.716,0.665,0.561750073980493,Neurons,Gm9846
3.17679893856379e-05,0.246460148951668,0.318,0.249,0.668144352758736,Neurons,Fcrla
3.18128002408962e-05,-0.162774805844803,0.699,0.731,0.669086814666529,Neurons,Pnmal2
3.37638634993434e-05,0.233010528612578,0.581,0.524,0.71012157711819,Neurons,Rpl18a
3.890168774289e-05,0.205419383067205,0.616,0.558,0.818180296608462,Neurons,Gm20388
4.06264204565804e-05,0.196773111601736,0.677,0.629,0.854454875042799,Neurons,Rps15
